geneID	SRR7652567	SRR7652566	SRR7652565	SRR7652569	SRR7652568	SRR7652563
Solyc08g076580.2.1	1.770390958790835	2.0129391199228523	2.0587568724941967	0.5879707752912772	0.5217464224037054	1.3891506846649697
Solyc08g008480.2.1	1.899547421282447	2.805296736001258	1.768074482645888	-1.5542867383054553	-0.9065646452747209	-0.6091679158146355
Solyc04g049610.3.1	0.704632652697254	1.3832527600501914	0.1921249673208331	3.642070694940188	2.766733502791881	4.168336863088922
Solyc08g016440.3.1	1.7326099317198687	1.4644280041281659	1.4238053592053181	3.637780995557279	3.0877210412563065	3.0044996620815163
Solyc04g050440.3.1	5.826587010543289	5.306771397281087	6.036470549730345	2.6675907502708376	2.5830917872793697	3.203484606151059
Solyc05g007250.3.1	7.4150502967393095	7.459440541851975	6.783364472611943	6.328323190214947	5.966656608672278	6.348153767365917
Solyc06g007430.2.1	3.906648684052818	4.099232838486523	4.329245257177961	5.161838378442793	5.4058517620930004	4.963384117407982
Solyc01g095170.2.1	0.83646375673182	1.438320128599587	2.2229869543883627	2.5095404820519116	2.63542047263858	2.316240947177994
Solyc09g005730.3.1	4.039329245051088	3.5781675322029156	2.913426588975032	5.17441148985713	4.9277822962502436	4.852992468892496
Solyc01g095070.3.1	5.242845865234484	5.265638476631001	5.328282861565676	3.3690926026171732	3.6300742989588235	3.6714938175379572
Solyc11g008140.2.1	5.310952584984127	5.245890024932454	5.871204015336376	3.486281571496468	3.945202975114244	3.7916386341843773
Solyc01g014180.3.1	6.232913936072883	6.329936088441836	6.2650728822621895	7.402031467233312	7.278959914107315	7.365540779847754
Solyc09g083445.1.1	7.021614084058923	1.353936300398671	-0.7856345671304784	10.35597393012262	8.448507079267365	9.641446054938902
Solyc10g009530.3.1	1.5071652895919028	1.7811888411766361	1.5443045616970341	-0.4311753947193418	-0.44506987282861954	-0.20821228662213623
Solyc12g009050.2.1	1.1920249726996828	1.1546868713488048	0.9142257690709176	2.6755509575571566	2.790144689023972	2.5650951884934314
Solyc09g056430.3.1	1.4040641378215708	0.8535450618370701	0.9508586423131489	0.26785637486819724	-0.6377230133093351	-1.32006549013636
Solyc03g007860.1.1	4.769352909652855	4.514996697381692	4.898416264713181	3.022949825520344	3.0315566831147605	3.04910699966391
Solyc09g060100.3.1	4.696788664573649	4.971753385142454	3.563895174447284	5.794563081547283	5.846127768855286	5.633591241179814
Solyc05g055160.3.1	8.752909767113488	8.837470093459263	9.921249678634199	10.53190692590303	10.591746222957303	10.552629003365045
Solyc02g062040.3.1	2.170148533486344	2.3166257554086958	2.5195171518792203	3.67443117439435	3.079831261361303	3.688705038329348
Solyc03g044600.2.1	0.157417129313363	1.6982478225435798	1.6039803975922804	-1.5054709634381405	-1.338118255400984	-0.2790388138856031
Solyc10g055740.2.1	0.20608450338848042	0.4056901947901599	1.0962337163965412	3.330441653395239	2.297471132981388	2.6072610135957133
Solyc03g112200.1.1	5.102275726844555	4.9633416307408575	5.811846148689747	6.3279027340618414	6.332854581252567	6.728599477755308
Solyc02g092810.3.1	3.277757737053704	3.6752789789973215	3.3883129149389735	4.593000229980509	4.446888248710206	4.550010853024638
Solyc01g087570.2.1	4.423164051591288	4.391724801373909	3.782505255024035	2.845229358678583	2.094401278475324	1.8883212373868532
Solyc03g116390.3.1	-2.658210061306211	-3.799390449673452	-5.281764585486946	2.134095162988561	1.4490294367011007	1.686891402179908
Solyc02g079280.3.1	-1.0742633750986432	-3.7926677329865046	-0.4258081456230043	2.6852674241543473	2.0925457547425284	2.1831503751800856
Solyc06g005310.3.1	4.003101791454643	3.8917215006964825	5.12582603126407	2.7015855553561754	2.461803793286184	2.9460412940292056
Solyc09g091510.3.1	4.32305721977057	4.2831549462490734	3.6930830871780302	6.427520448874824	5.23347766041811	5.599187404530616
Solyc08g080585.1.1	3.2242309920833025	3.702032337359786	2.3880553422762856	3.2009973648996355	-5.589083878535608	-5.565837588967802
Solyc04g054760.3.1	1.5441018730867542	1.8170876486513101	1.2448746746494095	3.454630222935675	3.2332901586452722	3.301292463768241
Solyc01g109550.2.1	3.797359458193418	3.8690363524917912	3.9968398166808687	1.258881553290693	2.522434417477537	1.73324466818713
Solyc10g081420.2.1	5.178431699249324	5.548839370844292	5.54359643845797	4.248950630367715	4.527243627128514	4.414508220986744
Solyc03g120475.1.1	8.938401669326746	9.091940684362328	8.676223820346305	7.668617405397226	7.260639681917986	7.394189454644342
Solyc05g009890.1.1	3.81191186767761	4.87172972909864	3.742634772176928	2.9151339406741097	2.9236621541774666	3.0526449330497196
Solyc01g086970.3.1	5.0852599722373615	4.913989314824828	5.236835472944191	6.4148992170070045	6.0964083607626725	6.300204144000749
Solyc09g097865.1.1	0.762798159687956	1.8072024792352477	1.3857635558544499	-0.47000701779423404	0.5932015056927561	-0.01626412708706799
Solyc02g083130.3.1	2.0957883582184365	3.4781948867764574	2.2659130797849643	4.539473603989575	4.397865755956388	4.566614047082396
Solyc09g075560.1.1	4.711887313155973	5.039300390802181	4.957073103312926	3.8854839359179554	3.60336873373024	3.4947336393117556
Solyc01g067360.3.1	2.1555457880268927	2.605864642514447	2.689582906310346	0.4359782460470718	0.5199613558078323	1.593852268441651
Solyc05g013207.1.1	4.736926494476632	5.635602922826011	4.560555744520038	3.556485621338749	3.457080431996277	3.2691298215308295
Solyc01g094170.3.1	1.3539236346038073	1.0345314361478999	-0.41920230141903575	1.9935343372998071	2.467934852683245	2.138802102555868
Solyc01g088380.2.1	2.561944500377452	2.8324533358044848	2.6670439260107703	1.7119845338512443	1.321164838583043	1.6083547507511047
Solyc03g098240.3.1	3.292037469392817	3.2804487182653324	3.45570236851579	4.951610546279088	5.13309531115334	5.093370073517906
Solyc02g072120.3.1	1.521962334227113	1.2502336979751063	1.427986408782201	2.4514485082471573	2.4866167627611553	2.27542201996172
Solyc10g076700.2.1	4.627366426145703	4.650272106418525	4.460498747580418	3.3209689128346587	3.765862313723805	3.39896972725968
Solyc10g005400.3.1	5.720256210395502	6.350688637070053	5.592587312081189	1.5394596814951815	2.443534471679397	1.77859516699873
Solyc07g063470.1.1	-1.993115739117952	-3.774313758503503	-2.4774837726278527	0.894749667075548	0.15096166225837562	0.17612204601814724
Solyc09g018500.2.1	0.762262131749587	1.363863840146503	1.092064200003808	-1.8468533621306058	-1.195425510497452	-0.6113061604821186
