geneID	SRR7652568	SRR7652563	healthy.AVG
Solyc09g007080.3.1	4.73	4.39	4.25
Solyc11g066500.2.1	6.23	6.37	5.75
Solyc03g060510.3.1	5.15	4.79	5.43
Solyc11g066460.1.1	2.5	2.76	1.97
Solyc06g082800.3.1	3.97	3.96	4.12
Solyc01g105290.3.1	6.68	6.35	6.42
Solyc11g011542.1.1	1.64	1.42	1.37
Solyc03g007860.1.1	3.04	3.06	4.73
Solyc06g048620.3.1	3.65	3.77	3.17
Solyc03g006490.3.1	1.48	1.39	2.51
Solyc09g060100.3.1	5.85	5.64	4.42
Solyc03g114300.3.1	3.97	3.91	3.91
Solyc11g010105.1.1	3.76	3.22	3.6
Solyc09g092080.3.1	1.36	2.32	2.87
Solyc05g055160.3.1	10.59	10.55	9.17
Solyc06g053780.3.1	3.23	3.17	3.55
Solyc02g062040.3.1	3.09	3.7	2.35
Solyc05g046390.3.1	5.98	6.06	6.39
Solyc03g044600.2.1	-1.11	-0.17	1.2
Solyc09g083370.3.1	3.16	3.3	4.16
Solyc03g115845.1.1	0.56	0.36	0.35
Solyc07g065280.3.1	5.19	5.32	5.7
Solyc10g018885.1.1	2.34	2	2.09
Solyc10g051050.2.1	1.08	0.92	1.08
Solyc03g007680.3.1	3.95	4.15	3.94
Solyc01g091860.3.1	4.26	4.22	3.83
Solyc12g098660.2.1	4.83	4.38	4.58
Solyc04g057890.3.1	4.42	4.49	4.64
Solyc06g008960.3.1	4.96	4.94	4.46
Solyc08g005440.3.1	3.71	4.38	4.14
Solyc08g082330.3.1	1.12	1.16	0.92
Solyc05g026050.3.1	4.08	4.38	3.91
Solyc01g096185.1.1	2.32	2.17	1.39
Solyc02g062375.1.1	5.61	5.69	5.23
Solyc12g009620.2.1	4.35	4.51	4.12
Solyc09g090660.3.1	6.21	6.34	6.24
Solyc02g081700.1.1	6.42	6.58	6.42
Solyc04g057880.3.1	4.87	4.88	4.71
Solyc05g021090.3.1	1.48	1.37	1.53
Solyc06g082000.3.1	-0.19	1.02	0.7
Solyc04g050550.2.1	3.95	3.73	3.46
Solyc05g055790.3.1	4.94	4.87	5.27
Solyc05g054170.3.1	5.25	4.93	4.56
Solyc01g005730.3.1	4.07	4.41	3.43
Solyc08g076830.1.1	1.35	1.71	1.94
Solyc02g085700.2.1	5.53	5.43	6.35
Solyc12g008580.2.1	2.41	2.28	2.95
Solyc08g014290.1.1	4.03	4.09	3.74
Solyc01g102970.3.1	5.49	5.77	5.3
Solyc06g060270.3.1	1.43	0.64	1.04
Solyc06g072570.3.1	5.11	5.42	5.24
Solyc01g109070.2.1	2.27	1.82	2.49
Solyc01g010050.3.1	5.95	6.06	6.22
Solyc08g061450.2.1	0.32	0.52	0.44
Solyc10g055740.2.1	2.32	2.62	0.63
Solyc01g086900.3.1	4.24	4.09	4.59
Solyc11g007120.2.1	3.89	4.1	4.07
Solyc02g080470.3.1	4.97	5.05	5.15
Solyc11g008720.2.1	3.46	3.74	3.96
Solyc05g051840.1.1	4.16	4.46	4.46
Solyc02g084550.3.1	4.05	3.82	4.09
Solyc07g045250.1.1	3.94	3.98	4.32
Solyc02g092420.3.1	0.9	1.11	1.77
Solyc10g055650.2.1	5.89	5.7	6.32
Solyc05g009050.3.1	4	4.09	4.44
Solyc04g054730.3.1	2.87	4.57	4.15
Solyc06g007165.1.1	6.37	5.77	6.46
Solyc03g013630.3.1	3.41	3.6	3.89
Solyc03g112200.1.1	6.33	6.73	5.29
Solyc02g083630.3.1	2.38	2.8	2.89
Solyc02g092810.3.1	4.45	4.55	3.46
Solyc01g087570.2.1	2.12	1.91	4.2
Solyc09g063140.3.1	5.42	5.23	5.54
Solyc02g069515.1.1	1.79	1.85	1.76
Solyc02g070210.3.1	2.7	2.89	3.14
Solyc03g116390.3.1	1.48	1.72	-2.85
Solyc11g017470.2.1	5.57	5.29	4.99
